zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
23399,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
23396,84,A & N Electric Coop,VA,Bundled,Cooperative,0.102551347688,0.0826051112943,0.112773849749
62376,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62319,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62311,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62346,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62347,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62344,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62349,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62325,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62338,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62360,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62365,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62351,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
62359,97,Adams Electric Coop,IL,Bundled,Cooperative,0.0964689040878,0,0.138173383489
53952,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53954,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53932,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53936,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
54976,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
54943,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53913,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53910,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53949,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
54965,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53923,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53920,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
53926,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
54457,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
54613,108,Adams-Columbia Electric Coop,WI,Bundled,Cooperative,0.112655619722,0.0818645762088,0.146652951531
45693,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.123237950536,0,0.140011056737
45168,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.123237950536,0,0.140011056737
45167,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.123237950536,0,0.140011056737
45144,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.123237950536,0,0.140011056737
45616,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.123237950536,0,0.140011056737
45650,118,"Adams Rural Electric Coop, Inc",OH,Bundled,Cooperative,0.123237950536,0,0.140011056737
56207,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
56235,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
56231,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
56267,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
56215,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
56249,155,Agralite Electric Coop,MN,Bundled,Cooperative,0.0690271524082,0.0815174879875,0.111558131606
